Chapter,Node_ID,Scene,Summary,Midjourney_Prompt_En,Leonardo_Prompt_Zh
,C2_N2A,强硬驱赶,樊长玉持刀镇住众人，但树敌更深。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 强硬驱赶. Story: 樊长玉持刀镇住众人，但树敌更深。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：强硬驱赶。画面描述：樊长玉持刀镇住众人，但树敌更深。。电影级光影，细节丰富，氛围感强，16:9
,C2_N2B,息事宁人,暂时缓和冲突，却给对方留下可乘之机。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 息事宁人. Story: 暂时缓和冲突，却给对方留下可乘之机。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：息事宁人。画面描述：暂时缓和冲突，却给对方留下可乘之机。。电影级光影，细节丰富，氛围感强，16:9
,C2_N2C,谢征出面,谢征以冷静态度替你周旋，显示其不凡谈吐。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 谢征出面. Story: 谢征以冷静态度替你周旋，显示其不凡谈吐。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：谢征出面。画面描述：谢征以冷静态度替你周旋，显示其不凡谈吐。。电影级光影，细节丰富，氛围感强，16:9
,C2_N3,通缉画像,城门口出现疑似谢征的模糊画像，继续同住风险加剧。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 通缉画像. Story: 城门口出现疑似谢征的模糊画像，继续同住风险加剧。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：通缉画像。画面描述：城门口出现疑似谢征的模糊画像，继续同住风险加剧。。电影级光影，细节丰富，氛围感强，16:9
,C2_N4A,无法出城,谢征表示伤未愈城外更危险，平静指出女主想推走麻烦。,"Visual novel CG, otome game style, ancient Chinese, high quality 2D anime art. Scene: 无法出城. Story: 谢征表示伤未愈城外更危险，平静指出女主想推走麻烦。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，乙女向，中国古风，高精度2D游戏美术。场景：无法出城。画面描述：谢征表示伤未愈城外更危险，平静指出女主想推走麻烦。。电影级光影，细节丰富，氛围感强，16:9
,C2_N4B,接受假婚,答应假婚后屋里安静一瞬，谢征问「你不后悔？」承诺感。,"Visual novel CG, otome game style, ancient Chinese, high quality 2D anime art. Scene: 接受假婚. Story: 答应假婚后屋里安静一瞬，谢征问你不后悔。承诺感。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，乙女向，中国古风，高精度2D游戏美术。场景：接受假婚。画面描述：答应假婚后屋里安静一瞬，谢征问你不后悔。承诺感。。电影级光影，细节丰富，氛围感强，16:9
,C2_RULES,约法三章,谢征说「我不会让你白白受牵连」，眼神没有移开。烛火摇曳，乙女向心动。,"Visual novel CG, otome game style, ancient Chinese, high quality 2D anime art. Scene: 约法三章. Story: 谢征说我不会让你白白受牵连，眼神没有移开。烛火摇曳，乙女向心动场景。. Cinematic lighting, intimate atmosphere, dramatic composition --ar 16:9",视觉小说CG，乙女向，中国古风，高精度2D游戏美术。场景：约法三章。画面描述：谢征说我不会让你白白受牵连，眼神没有移开。烛火摇曳，心动场景。。电影级光影，细节丰富，氛围感强，16:9
,C2_N4C,要求坦白,谢征透露自己牵涉旧案，但暂不能说全。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 要求坦白. Story: 谢征透露自己牵涉旧案，但暂不能说全。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：要求坦白。画面描述：谢征透露自己牵涉旧案，但暂不能说全。。电影级光影，细节丰富，氛围感强，16:9
,C2_N5,成婚过场,无论是否真心，玩家都要决定婚礼姿态，以影响外界与谢征的观感。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 成婚过场. Story: 无论是否真心，玩家都要决定婚礼姿态，以影响外界与谢征的观感。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：成婚过场。画面描述：无论是否真心，玩家都要决定婚礼姿态，以影响外界与谢征的观感。。电影级光影，细节丰富，氛围感强，16:9
,C2_END,章节结尾,假婚关系确立，谢征正式住入樊家后院，二人开始共同对抗外界。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 章节结尾. Story: 假婚关系确立，谢征正式住入樊家后院，二人开始共同对抗外界。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：章节结尾。画面描述：假婚关系确立，谢征正式住入樊家后院，二人开始共同对抗外界。。电影级光影，细节丰富，氛围感强，16:9
,C3_N1,婚后清晨,邻里议论纷纷，猪肉铺生意受流言影响。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 婚后清晨. Story: 邻里议论纷纷，猪肉铺生意受流言影响。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：婚后清晨。画面描述：邻里议论纷纷，猪肉铺生意受流言影响。。电影级光影，细节丰富，氛围感强，16:9
,C3_N2A,主动解释,诚恳回应可降低部分流言，但也暴露婚事仓促。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 主动解释. Story: 诚恳回应可降低部分流言，但也暴露婚事仓促。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：主动解释。画面描述：诚恳回应可降低部分流言，但也暴露婚事仓促。。电影级光影，细节丰富，氛围感强，16:9
,C3_N2B,埋头做生意,短期收入稳定，但流言继续发酵。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 埋头做生意. Story: 短期收入稳定，但流言继续发酵。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：埋头做生意。画面描述：短期收入稳定，但流言继续发酵。。电影级光影，细节丰富，氛围感强，16:9
,C3_N2C,谢征帮忙,谢征展现过人的记忆与判断力，让你更怀疑其真实来历。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 谢征帮忙. Story: 谢征展现过人的记忆与判断力，让你更怀疑其真实来历。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：谢征帮忙。画面描述：谢征展现过人的记忆与判断力，让你更怀疑其真实来历。。电影级光影，细节丰富，氛围感强，16:9
,C3_N3,当铺线索,当铺掌柜认出残玉纹样，提到它和十余年前一桩灭门旧案有关。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 当铺线索. Story: 当铺掌柜认出残玉纹样，提到它和十余年前一桩灭门旧案有关。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：当铺线索。画面描述：当铺掌柜认出残玉纹样，提到它和十余年前一桩灭门旧案有关。。电影级光影，细节丰富，氛围感强，16:9
,C3_N4A,追问旧案,你得知旧案幸存者可能藏身宛州，追查风险大增。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 追问旧案. Story: 你得知旧案幸存者可能藏身宛州，追查风险大增。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：追问旧案。画面描述：你得知旧案幸存者可能藏身宛州，追查风险大增。。电影级光影，细节丰富，氛围感强，16:9
,C3_N4B,与谢征商量,谢征态度罕见动摇，说明此案与他过去关系极深。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 与谢征商量. Story: 谢征态度罕见动摇，说明此案与他过去关系极深。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：与谢征商量。画面描述：谢征态度罕见动摇，说明此案与他过去关系极深。。电影级光影，细节丰富，氛围感强，16:9
,C3_N4C,自行调查,你决定不完全相信谢征，独自摸查旧宅。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 自行调查. Story: 你决定不完全相信谢征，独自摸查旧宅。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：自行调查。画面描述：你决定不完全相信谢征，独自摸查旧宅。。电影级光影，细节丰富，氛围感强，16:9
,C3_N5,夜探旧宅,玩家在废宅找到与残玉吻合的暗格，却被神秘人发现。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 夜探旧宅. Story: 玩家在废宅找到与残玉吻合的暗格，却被神秘人发现。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：夜探旧宅。画面描述：玩家在废宅找到与残玉吻合的暗格，却被神秘人发现。。电影级光影，细节丰富，氛围感强，16:9
,C3_ENDA,并肩初成,谢征及时出现救下玩家，两人第一次真正站到同一阵线。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 并肩初成. Story: 谢征及时出现救下玩家，两人第一次真正站到同一阵线。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：并肩初成。画面描述：谢征及时出现救下玩家，两人第一次真正站到同一阵线。。电影级光影，细节丰富，氛围感强，16:9
,C3_ENDB,各怀心思,你带着账册逃回家，但谢征察觉你有所隐瞒。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 各怀心思. Story: 你带着账册逃回家，但谢征察觉你有所隐瞒。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：各怀心思。画面描述：你带着账册逃回家，但谢征察觉你有所隐瞒。。电影级光影，细节丰富，氛围感强，16:9
,C3_ENDC,险中得讯,神秘人未下杀手，只留下一句“你们查错了方向”。,"Visual novel CG, ancient Chinese style, high quality 2D anime art. Scene: 险中得讯. Story: 神秘人未下杀手，只留下一句“你们查错了方向”。. Cinematic lighting, detailed background, dramatic composition --ar 16:9",视觉小说CG，中国古风，高精度2D游戏美术。场景：险中得讯。画面描述：神秘人未下杀手，只留下一句“你们查错了方向”。。电影级光影，细节丰富，氛围感强，16:9
