chapter,title,node_id,scene,summary,condition,effects,choices,full_text_preview
2,假婚避祸,C2_N2A,强硬驱赶,持刀镇住众人。谢征目睹，可与其对视。,选择强硬驱赶,名声+3；家产压力+2,"不在意重新开铺->C2_N3；转身与谢征对视->C2_N3（好感+5）","你把刀横在案上，语气不重，却足够硬..."
2,假婚避祸,C2_N2B,息事宁人,谢征端热水放到手边，什么都没问却什么都懂。被理解感。,选择息事宁人,家产压力+1；流言+1,"接过热水一个人平复->C2_N3；抬头问他是不是听到了->C2_N3（好感+8）","门被人从外头轻轻推开——是谢征，端着一碗热水..."
2,假婚避祸,C2_N2C,谢征出面,谢征冷静周旋，显示不凡谈吐。女主觉得他陌生又吸引。,选择请谢征出面,好感+10；怀疑+2,"事后问他这种话哪儿学的->C2_N3；什么也不问只说了声谢->C2_N3（好感+8）","他几句话就把大伯逼进退两难的处境..."
2,假婚避祸,C2_N3,通缉画像,城门口贴出与谢征七分相似的画像。他提议假婚。,无,追捕压力+1,"提议趁夜送他出城->C2_N4A；同意假婚方案->C2_N4B；要求先交代实情->C2_N4C","若要避祸，最稳的法子，是让所有人都相信——我们是夫妻。"
2,假婚避祸,C2_N4A,无法出城,谢征表示伤未愈城外更危险。平静指出女主想推走麻烦。,选择送他出城,无,"重新考虑假婚方案->C2_N4B（婚约=true）；问他除了假婚有没有别的办法->C2_N5","我知道你在想什么。你想把这个麻烦推出去。"
2,假婚避祸,C2_N4B,答应假婚,答应后屋里安静一瞬。谢征问「你不后悔？」承诺感。,选择同意假婚,婚约=true；好感+10,听他说规矩->C2_RULES,"你答应了。屋子里安静了一瞬，像什么东西悄悄改变了形状。"
2,假婚避祸,C2_RULES,约法三章,谢征说「我不会让你白白受牵连」，眼神没有移开。,从C2_N4B或C2_N4C进入,根据回应影响好感,"点头照单全收->C2_N5；再加一条不许对我撒谎->C2_N5（好感+10 怀疑-2）；反问他万一你先食言呢->C2_N5（好感+6 怀疑+1）","我不会让你白白受牵连。烛火在他脸上摇了一下..."
2,假婚避祸,C2_N4C,要求坦白,谢征透露牵涉旧案，说「知道得越少你越安全」——像在保护她。,选择要求坦白,获得线索旧案关键词,"接受假婚->C2_RULES；先不表态但同意暂时配合->C2_N5","我牵涉一桩旧案。知道得越少，你越安全。"
2,假婚避祸,C2_N5,婚礼形式,谢征把婚礼决定权交给女主。信任感。,无,无,"简办只求遮掩->C2_END；体面操办->C2_END（银钱-1 名声+2 流言-2）；拒绝办婚礼->C2_END（好感-6 流言+2）","你比我更清楚这里的人。"
2,假婚避祸,C2_END,第二章终,假婚确立。新婚夜隔墙而眠。,完成本章,解锁第三章,进入第三章->C3_N1,"一墙之隔，你忽然觉得，这世上多了一个和你有关的人。"
3,残玉旧案,C3_N1,婚后清晨,灶间有热茶正好是女主惯喝的温度。谢征何时记住的？心动。,第三章开始,流言压力+1,"主动解释婚事->C3_N2A；闷头做生意->C3_N2B；请谢征一起帮衬->C3_N2C","灶间已经有了热茶——茶正好是你惯喝的温度。他什么时候记住的？"
3,残玉旧案,C3_N2A,解释婚事,谢征走在身侧半步，没有插话但他在。被守护感。,选择主动解释,名声+2；流言-2,"装作没注意他->C3_N3；低声说谢谢你今天没插嘴->C3_N3（好感+6）","谢征走在你身侧半步，不远不近，像是在守着什么地方。"
3,残玉旧案,C3_N2B,闷头做生意,谢征捡起女主落下的钱袋放到手边，一句多余的话都没说。,选择闷头做生意,银钱+1；流言+2,"接过不说话->C3_N3；问他有没有想出去的时候->C3_N3（好感+8 怀疑+1）","谢征把你落下的钱袋捡起来，放到你手边..."
3,残玉旧案,C3_N2C,谢征帮铺,谢征记账招呼极稳，指节修长。女主越看越觉得他哪儿不对。,选择请谢征帮忙,好感+10；流言-2；怀疑+1,"把疑惑压下去先出去打听->C3_N3；直接问他以前是做什么的->C3_N3（怀疑+3）","这不像一个逃命之人该有的从容..."
3,残玉旧案,C3_N3,当铺线索,掌柜认出残玉纹样，牵涉十余年前灭门旧案。持有残玉则强化版。,若持有残玉=true则强化版,获得线索旧案关联,"继续追问旧案->C3_N4A；先回去告诉谢征->C3_N4B；独吞线索自己先查->C3_N4C","这纹样……我见过。十余年前，宛州城里出过一桩灭门旧案..."
3,残玉旧案,C3_N4A,追问旧案,得知旧案幸存者可能藏身宛州。,选择追问,危险+2；怀疑+1,"回去把线索告诉谢征->C3_N5（好感+8）；自己先去旧宅探->C3_N5（危险+2）","据说案子里有一个孩子逃出去了，活到了现在。"
3,残玉旧案,C3_N4B,告知谢征,谢征第一次在女主面前说真话——十余年前失去至亲。情感深度。,选择先告诉谢征,信任+1,"伸手轻轻放在他肩上->C3_N5（好感+15）；沉默点头示意同行->C3_N5（好感+8）","这案子与我过去有关。十余年前，我失去了至亲。"
3,残玉旧案,C3_N4C,独自行动,女主决定不完全信任谢征，独自摸查。,选择隐瞒线索,好感-8；怀疑+3,"直接进去探查->C3_N5（危险+2）；犹豫后回去叫谢征->C3_N5（好感+5）","独行更轻快，也更容易死。天色渐暗，旧宅就在前头。"
3,残玉旧案,C3_N5,夜探旧宅,在废宅找到与残玉相合的账册，被神秘人发现。,无,获得半页账册,"低声呼叫谢征->C3_ENDA；独自从侧门逃出->C3_ENDB；与来人对峙->C3_ENDC","门外，脚步声。有人发现了你。"
3,残玉旧案,C3_ENDA,并肩初成,谢征拉着女主逃出，手扣着她手腕，脸上有细汗。乙女向高光。,选择呼叫谢征,好感+15；危险-3；同盟=true,进入第四章（同盟线）->C4_ENDA_N1,"他在紧张。为你紧张。你第一次觉得，你们也许不只是利害关系。"
3,残玉旧案,C3_ENDB,各怀心思,谢征察觉女主独自行动有所隐瞒，信任出现裂缝。,选择独自逃离,保留账册；关系裂痕,进入第四章（信任线）->C4_ENDB_N1,"他看你的眼神和以前不一样了。信任，开始有了第一道裂缝。"
3,残玉旧案,C3_ENDC,险中得讯,蒙面女子留下「真正的证据在京城」后离去。,选择与来人对峙,获得京城线索,进入第四章（京城线）->C4_ENDC_N1,"真正的证据不在宛州——在京城。线索更真了，路却更远了。"
4,分线展开,C4_ENDA_N1,账册共读,同盟线。两人灯下共读账册，谢征情绪波动。,同盟=true,获得线索账册解读,"握紧他的手->C4_ENDA_N2（好感+8）；低声问打算怎么办->C4_ENDA_N2（好感+5）","你伸手，轻轻覆在他手背上。这上面的人，有的已经死了。有的——还在京城。"
4,分线展开,C4_ENDA_N2,京城之议,谢征提出去京城，给女主选择权。女主主动回应。,无,好感+10,收拾行囊准备启程->C4_END,"你——可以不去。可你已经选过了。什么时候动身？他嘴角微微扬起。"
4,分线展开,C4_ENDB_N1,沉默的清晨,信任线。灶间无热茶，谢征背对而坐，等一个解释。,从C3_ENDB进入,无,"直接开口坦白->C4_ENDB_N2（好感+8）；把账册递过去->C4_ENDB_N2（好感+5）","第二日清晨，灶间没有热茶。你知道他在等一个解释。"
4,分线展开,C4_ENDB_N2,摊牌与和解,女主坦白，谢征问「你怕我」，女主递账册表决心。,无,好感+10；同盟=true,等他开口->C4_END,"我怕的是，把命押在错的人身上。现在，我想和你一起查。"
4,分线展开,C4_ENDC_N1,京城之议,京城线。女主告知蒙面女子线索，谢征凝重。,从C3_ENDC进入,获得京城线索,"我和你一起去->C4_ENDC_N2（好感+12 同盟=true）；你先去我随后再决定->C4_END（好感+3）","京城……若真是那里，这案子比我想的还要深。"
4,分线展开,C4_ENDC_N2,同行之约,女主主动说同行，谢征怔住后轻笑。,无,同盟=true,准备启程->C4_END,"你一个人去，我不放心。他忽然笑了，很轻：好。"
4,分线展开,C4_END,第四章终,共通结局。京城之路铺开，两人对视。,完成本章,解锁第五章（规划中）,回到标题->start,"京城的路，在脚下铺开。这一次，你们没有移开视线。"
